"","title","release_year","age_certification","runtime","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","drama","comedy","documentation","horror","crime","action","thriller","fantasy","romance","history","scifi","animation","reality","sport","family","music","war","western","isNotUS"
"131","In the Line of Fire",-2.84995943586811,"R",0.949747866337652,7.2,0.67355065504561,-0.0245865734344473,0.512631072022625,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"132","Little Women",-2.72347222756613,"PG",0.46994284760517,7.3,0.267489073103469,-0.0989390121429172,0.853911013995931,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"133","U.S. Marshals",-2.21752339435817,"PG-13",1.06047210142976,6.5,0.695061807739134,0.0289564202733849,0.0392427654144923,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"135","Anaconda",-2.34401060266016,"PG-13",-0.489667189859794,4.8,0.685322792194766,0.152937926702418,-1.36190655647005,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"137","The Replacements",-1.9645489777542,"PG-13",0.580667082697281,6.6,0.327330013908703,0.111331191750792,0.139324859834816,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"138","Seven Years in Tibet",-2.34401060266016,"PG-13",1.24501249324995,7.1,1.03649009080761,-0.097930143021975,0.739817426356761,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
"139","The Net",-2.59698501926414,"PG-13",0.433034769241133,5.9,0.344538936063522,-0.0715658403313307,-0.461167706687128,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"140","Cliffhanger",-2.84995943586811,"R",0.359218612513059,6.5,0.910046264574073,0.0724107227717959,0.0392427654144923,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
"141","Menace II Society",-2.84995943586811,"R",-0.194402562947497,7.5,0.267498149539205,-0.0959610249786904,1.08209818927427,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"142","Johnny Mnemonic",-2.59698501926414,"R",-0.194402562947497,5.6,0.388977165425333,-0.134589772766089,-0.7614139899481,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
"143","3 Ninjas Kick Back",-2.72347222756613,"PG",-0.342034876403645,4.5,-0.175958347633871,-0.112066465764815,-0.961578178788749,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
"144","Edge of Seventeen",-2.21752339435817,"R",0.0639539856007624,6.8,-0.201118227493132,-0.188971464899765,0.0392427654144923,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"146","The Devil's Own",-2.34401060266016,"R",0.174678220692874,6.2,0.332340206434789,-0.108906152855839,-0.361085612266804,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"148","Spawn",-2.34401060266016,"PG-13",-0.231310641311534,5.2,0.358307889074524,-0.0587544180003307,-1.11870706702866,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"150","Croupier",-2.21752339435817,"R",-0.305126798039608,7,-0.0645178696713874,-0.163385085386714,0.339489048675464,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
